archetype,phase_order,phase_name,action_order,action_title,action_description,target_people,recruiting_channel,outreach_script,framework,deliverable,pass_signal,fail_signal,estimated_days,estimated_hours,estimated_cash,resource_type,resource_url
digital_product,1,Foundation,1,Write the problem hypothesis,"Name the user trigger current workaround measurable pain and why now","Five apartment plant owners who had a plant problem this month","personal network; apartment groups","I am researching how people handle a plant that suddenly looks unhealthy. Could I ask about the last time this happened? I am not selling anything.",Problem hypothesis,"One falsifiable problem statement","The statement can be disproved by interviews","The statement uses vague users or vague pain",1,2,0,YC guide,https://www.ycombinator.com/blog/startup-school-week-1-recap-kevin-hale-and-eric-migicovsky/
digital_product,1,Foundation,2,Map founder constraints,"Record available hours cash technical gaps and non-negotiable life limits","Founder and one accountability partner","private working session","Which constraint would make me stop this project even if demand exists?",Constraint map,"A weekly capacity and stop-rule sheet","Every constraint has a limit and response","The plan assumes unlimited time or money",1,2,0,Blueprint worksheet,#
digital_product,1,Foundation,3,Rank the riskiest assumptions,"Score desirability feasibility viability and distribution beliefs by uncertainty and impact","Founder plus one product peer","peer review","Which belief would kill the idea fastest if false?",Assumption map,"Top five assumptions in test order","Each assumption has a test and threshold","Assumptions are written as opinions",1,2,0,Lean Canvas,https://leanspark.leanstack.com/leancanvas
digital_product,2,Customer research,1,Define interview segments,"Separate novice plant owners experienced collectors and nursery staff before recruiting","Six novice owners; three collectors; three nursery staff","Instagram plant groups; apartment communities; nurseries","I am studying what happens between noticing a symptom and deciding what care action to take.",Segment matrix,"Three segments with inclusion criteria","Each recruit recently experienced the problem","Recruiting is based only on stated interest",1,2,15,YC interview guide,https://www.ycombinator.com/blog/startup-school-week-1-recap-kevin-hale-and-eric-migicovsky/
digital_product,2,Customer research,2,Run behavior interviews,"Ask about the last unhealthy plant symptom decisions cost confidence and outcome","Ten qualified plant owners","direct messages; nursery referrals","Tell me about the last plant that started looking unhealthy. What did you notice first? What did you do next?",Behavior interview,"Ten structured interview notes","Five repeated pain patterns and exact language","Mostly hypothetical feedback about the app",5,7,30,YC talk,https://www.ycombinator.com/blog/startup-school-videos
digital_product,2,Customer research,3,Interview the missing voice,"Learn how nursery workers diagnose plants and where customer descriptions fail","Three nursery employees or horticulture advisors","nearby nursery visits; LinkedIn","What information is usually missing when a customer asks why their plant is unhealthy?",Expert interview,"Diagnosis decision tree and failure cases","Three recurring diagnostic inputs emerge","Advice depends entirely on physical inspection",3,4,25,Field interview,#
digital_product,2,Customer research,4,Synthesize evidence,"Code notes into trigger workaround cost emotion frequency and unresolved outcome","All completed interview notes","analysis session","Which observations occurred independently across at least three people?",Affinity mapping,"Evidence table with counts and quotes","One segment has repeated urgent pain","No repeated behavior pattern appears",2,3,0,Affinity map,#
digital_product,3,Market research,1,Map current alternatives,"Compare search forums identification apps nurseries and doing nothing","Top five alternatives used in interviews","app stores; search results; interviews","What did you try before asking someone for help?",Alternative map,"Comparison by time cost trust and outcome","A clear underserved job appears","Existing options solve the job reliably",2,4,0,Competitive analysis,#
digital_product,3,Market research,2,Read competitor complaints,"Analyze recent low-star reviews for diagnosis trust local relevance and subscription friction","Three closest plant-care apps","App Store; Google Play; review sites","Not applicable",Review mining,"Fifty coded review complaints","Ten or more complaints support one wedge","Complaints are scattered without a pattern",3,5,0,Review mining,#
digital_product,3,Market research,3,Test reachable audience,"Estimate how many target users can be reached through two realistic channels","Apartment plant groups and nursery customers","Instagram; local nurseries","Would you share a free plant-diagnosis test with customers who need follow-up help?",Channel test,"Two channel estimates and partner responses","One channel can recruit 20 users in two weeks","Both channels require paid acquisition immediately",3,4,25,Channel experiment,#
