industry,city_type,goal_type,founder_background,journey_stage,typical_step,typical_duration_weeks,typical_outcome,key_lesson
ai_product,anywhere,startup,product_manager,pre_launch,Interview 12 workflow owners,2,Found one repeated manual task with budget attached,Workflow urgency matters more than model novelty
saas,large_city,startup,engineer,pre_launch,Run 10 customer interviews,2,Found buyers needed workflow integration,Distribution must be tested before building
service,anywhere,side_income,designer,pre_launch,Sell a paid pilot,2,Two prospects paid deposits,Payment is stronger evidence than praise
creator,anywhere,side_income,teacher,early,Publish a focused series,4,Audience clustered around one problem,Consistency reveals the niche
saas,anywhere,startup,operations_manager,pre_launch,Shadow eight teams using spreadsheets,2,Three teams repeated the same reconciliation workaround,Observed repetition is stronger than feature requests
marketplace,anywhere,startup,growth_marketer,pre_launch,Recruit both sides into a manual match,2,Supply joined but demand did not complete transactions,Liquidity must be tested side by side
ai_product,anywhere,side_income,designer,pre_launch,Run a concierge AI workflow,2,Five users returned with a second task,Repeat behavior matters more than first-use curiosity
online_business,anywhere,small_business,domain_expert,pre_launch,Sell a paid cohort before recording content,2,Eight buyers paid for a narrow outcome,Commitment should precede production
creator,anywhere,side_income,analyst,early,Publish ten problem-specific posts,4,Two topics produced qualified replies,Niche response reveals useful positioning
consumer_product,anywhere,startup,engineer,pre_launch,Test a clickable prototype with target users,2,Users completed one core flow but ignored secondary features,Activation should define the first build
